id,bc2,bc1,sample,did
HG02700,101,27,run2_1d2,062919
HG02724,102,27,run2_1d2,062919
HG02725,103,27,run2_1d2,062919
HG02727,104,27,run2_1d2,062919
HG02728,97,28,run2_1d2,062919
HG02731,98,28,run2_1d2,062919
HG02733,105,28,run2_1d2,062919
HG02734,106,28,run2_1d2,062919
HG02736,101,28,run2_1d2,062919
HG02737,102,28,run2_1d2,062919
HG02774,103,28,run2_1d2,062919
HG02775,104,28,run2_1d2,062919
HG02778,97,29,run2_1d2,062919
HG02780,98,29,run2_1d2,062919
HG02780,105,56,run2_1d2,062919
HG02781,105,29,run2_1d2,062919
HG02783,106,29,run2_1d2,062919
HG02784,101,29,run2_1d2,062919
HG02786,102,29,run2_1d2,062919
HG02787,103,29,run2_1d2,062919
HG02789,104,29,run2_1d2,062919
HG02790,97,30,run2_1d2,062919
HG02792,98,30,run2_1d2,062919
HG02792,102,56,run2_1d2,062919
HG02793,105,30,run2_1d2,062919
HG03015,106,30,run2_1d2,062919
HG03016,101,30,run2_1d2,062919
HG03018,102,30,run2_1d2,062919
HG03019,103,30,run2_1d2,062919
HG03021,104,30,run2_1d2,062919
HG03022,97,31,run2_1d2,062919
HG03228,98,31,run2_1d2,062919
HG03229,105,31,run2_1d2,062919
HG03234,106,31,run2_1d2,062919
HG03234,103,56,run2_1d2,062919
HG03235,101,31,run2_1d2,062919
HG03237,102,31,run2_1d2,062919
HG03238,103,31,run2_1d2,062919
HG03487,104,31,run2_1d2,062919
HG03488,97,32,run2_1d2,062919
HG03490,98,32,run2_1d2,062919
HG03490,104,56,run2_1d2,062919
HG03491,105,32,run2_1d2,062919
HG03618,106,32,run2_1d2,062919
HG03619,101,32,run2_1d2,062919
HG03621,102,32,run2_1d2,062919
HG03624,103,32,run2_1d2,062919
HG03625,104,32,run2_1d2,062919
HG03629,97,33,run2_1d2,062919
HG03631,98,33,run2_1d2,062919
HG03631,97,57,run2_1d2,062919
HG03633,105,33,run2_1d2,062919
HG03634,106,33,run2_1d2,062919
HG03636,101,33,run2_1d2,062919
HG03636,105,57,run2_1d2,062919
HG03639,102,33,run2_1d2,062919
HG03640,103,33,run2_1d2,062919
HG03649,104,33,run2_1d2,062919
HG03650,97,34,run2_1d2,062919
HG03652,98,34,run2_1d2,062919
HG03652,102,57,run2_1d2,062919
HG03653,105,34,run2_1d2,062919
HG03656,106,34,run2_1d2,062919
HG03656,103,57,run2_1d2,062919
HG03660,101,34,run2_1d2,062919
HG03660,104,57,run2_1d2,062919
HG03663,102,34,run2_1d2,062919
HG03667,103,34,run2_1d2,062919
HG03668,104,34,run2_1d2,062919
HG03699,97,35,run2_1d2,062919
HG03700,98,35,run2_1d2,062919
HG03700,97,58,run2_1d2,062919
HG03702,105,35,run2_1d2,062919
HG03703,106,35,run2_1d2,062919
HG03703,105,58,run2_1d2,062919
HG03705,101,35,run2_1d2,062919
HG03705,102,58,run2_1d2,062919
HG03706,102,35,run2_1d2,062919
HG03708,103,35,run2_1d2,062919
HG03709,104,35,run2_1d2,062919
HG03761,97,36,run2_1d2,062919
HG03762,98,36,run2_1d2,062919
HG03762,103,58,run2_1d2,062919
HG03765,105,36,run2_1d2,062919
HG03767,106,36,run2_1d2,062919
NA18524,97,37,run2_1d2,062919
NA18525,98,37,run2_1d2,062919
NA18525,104,58,run2_1d2,062919
NA18526,105,37,run2_1d2,062919
NA18527,106,37,run2_1d2,062919
NA18528,101,37,run2_1d2,062919
NA18529,102,37,run2_1d2,062919
NA18530,103,37,run2_1d2,062919
NA18531,104,37,run2_1d2,062919
NA18532,97,38,run2_1d2,062919
NA18533,98,38,run2_1d2,062919
NA18533,97,59,run2_1d2,062919
NA18534,105,38,run2_1d2,062919
NA18535,106,38,run2_1d2,062919
NA18536,101,38,run2_1d2,062919
NA18537,102,38,run2_1d2,062919
NA18538,103,38,run2_1d2,062919
NA18539,104,38,run2_1d2,062919
NA18540,97,39,run2_1d2,062919
NA18541,98,39,run2_1d2,062919
NA18542,105,39,run2_1d2,062919
